date,winning_team,losing_team,home_team,away_team,score,venue
2024-10-11T19:06,OSAKA B,SUNTORY,SUNTORY,OSAKA B,3-0,Tokyo Metropolitan Gymnasium
2024-10-12T13:05,HIROSHIMA,TRshizuoka,HIROSHIMA,TRshizuoka,3-2,Hiroshima Green Arena
2024-10-12T14:05,STINGS AICHI,VC NAGANO,STINGS AICHI,VC NAGANO,3-1,Okazaki Central Park Gymnasium
2024-10-12T16:05,WD NAGOYA,Tokyo GB,Tokyo GB,WD NAGOYA,3-1,Tokyo Metropolitan Gymnasium
2024-10-12T16:05,SAKAI,VOREAS,SAKAI,VOREAS,3-2,Ohama Daishin Arena
2024-10-13T13:05,SAKAI,VOREAS,SAKAI,VOREAS,3-1,Ohama Daishin Arena
2024-10-13T13:05,TRshizuoka,HIROSHIMA,HIROSHIMA,TRshizuoka,3-1,Hiroshima Green Arena
2024-10-13T14:05,VC NAGANO,STINGS AICHI,STINGS AICHI,VC NAGANO,3-1,Okazaki Central Park Gymnasium
2024-10-13T15:05,WD NAGOYA,Tokyo GB,Tokyo GB,WD NAGOYA,3-1,Tokyo Metropolitan Gymnasium
2024-10-14T13:05,OSAKA B,SUNTORY,SUNTORY,OSAKA B,3-2,EDION Arena Osaka
2024-10-19T13:35,SUNTORY,VOREAS,VOREAS,SUNTORY,3-0,Recruit Staffing RICK&SUE Asahikawa Gymnasium
2024-10-19T14:05,SAKAI,VC NAGANO,VC NAGANO,SAKAI,3-0,ANC Arena
2024-10-19T14:05,Tokyo GB,TRshizuoka,TRshizuoka,Tokyo GB,3-1,Konohana Arena
2024-10-19T14:05,HIROSHIMA,OSAKA B,OSAKA B,HIROSHIMA,3-2,Panasonic Arena
2024-10-19T16:05,STINGS AICHI,WD NAGOYA,WD NAGOYA,STINGS AICHI,3-1,ENTRIO
2024-10-20T13:05,SAKAI,VC NAGANO,VC NAGANO,SAKAI,3-1,ANC Arena
2024-10-20T13:35,SUNTORY,VOREAS,VOREAS,SUNTORY,3-1,Recruit Staffing RICK&SUE Asahikawa Gymnasium
2024-10-20T14:05,Tokyo GB,TRshizuoka,TRshizuoka,Tokyo GB,3-1,Konohana Arena
2024-10-20T14:05,OSAKA B,HIROSHIMA,OSAKA B,HIROSHIMA,3-0,Panasonic Arena
2024-10-20T15:05,STINGS AICHI,WD NAGOYA,WD NAGOYA,STINGS AICHI,3-2,ENTRIO
2024-10-26T13:05,OSAKA B,WD NAGOYA,OSAKA B,WD NAGOYA,3-2,Panasonic Arena
2024-10-26T13:35,TRshizuoka,VOREAS,VOREAS,TRshizuoka,3-1,Recruit Staffing RICK&SUE Asahikawa Gymnasium
2024-10-26T14:05,Tokyo GB,HIROSHIMA,HIROSHIMA,Tokyo GB,3-2,Shimane Prefectural Hamayama Gymnasium
